experiment_id,run_id,seed,users,arrival_rate,traffic_pattern,algorithm,architecture,distributed_latency,failure_rate,fail_closed,rate_limit,simulation_duration,total_requests,accepted_requests,rejected_requests,throughput,acceptance_rate,rejection_rate,p95_latency,jain_fairness,limit_overshoot
1,1,500939758,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9658060701616082,0.0
1,2,4007147622,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9655016155725431,0.0
1,3,1850291428,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9860160965794769,0.0
1,4,659528345,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9461155301567689,0.0
1,5,75134087,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9624675936837144,0.0
1,6,2186645573,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9588518431556703,0.0
1,7,819282878,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9410284968123512,0.0
1,8,3329634809,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9690144744127185,0.0
1,9,609502706,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9605056840454723,0.0
1,10,2043793648,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9750298448070036,0.0
1,11,3820478884,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9680956143816674,0.0
1,12,244745249,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9744094488188977,0.0
1,13,2200731268,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9815920198702027,0.0
1,14,1142353532,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9711652794292509,0.0
1,15,1462555575,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9800215982721382,0.0
1,16,3415555633,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,501,495,6,49.5,0.9880239520958084,0.011976047904191617,0.0,0.9281953178271081,0.0
