experiment_id,users,arrival_rate,traffic_pattern,algorithm,architecture,distributed_latency,failure_rate,fail_closed,rate_limit,simulation_duration,throughput_mean,throughput_std,acceptance_rate_mean,acceptance_rate_std,rejection_rate_mean,rejection_rate_std,p95_latency_mean,p95_latency_std,jain_fairness_mean,jain_fairness_std,limit_overshoot_mean,limit_overshoot_std
1,20,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,49.5,0.0,0.9880239520958084,0.0,0.011976047904191616,1.734723475976807e-18,0.0,0.0,0.9624782696124682,0.013228377068445341,0.0,0.0
2,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,50.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9636583967102557,0.013588060601138024,2.0,0.0
3,20,50.0,constant,leaky_bucket,local,0,0.0,True,50,10.0,50.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.962100680354149,0.011655957697823627,2.0,0.0
4,20,50.0,poisson,sliding_window,local,0,0.0,True,50,10.0,44.89,0.9071383576941277,0.9015730826645273,0.027829762028671545,0.09842691733547257,0.027829762028671542,0.0,0.0,0.9619787462604117,0.012932728414374782,0.0,0.0
5,20,50.0,poisson,token_bucket,local,0,0.0,True,50,10.0,49.85,2.232151428554972,0.9993824650756783,0.0029415495043368517,0.0006175349243217896,0.0029415495043368495,0.0,0.0,0.9619209049830469,0.013785074141758183,32.56,11.05650939492207
6,20,50.0,poisson,leaky_bucket,local,0,0.0,True,50,10.0,50.19799999999999,1.986906137692468,0.999479051357335,0.002262107147719595,0.0005209486426650935,0.002262107147719588,0.4673441456674926,0.2277842661844295,0.9636613728143133,0.011784323468961983,32.44,9.619064403568572
7,20,50.0,ramp,sliding_window,local,0,0.0,True,50,10.0,30.590000000000003,1.5326121492406353,0.9779654818695956,0.01982649292280451,0.02203451813040447,0.019826492922804514,0.0,0.0,0.9416930133577178,0.019994142193604337,0.0,0.0
8,20,50.0,ramp,token_bucket,local,0,0.0,True,50,10.0,31.256000000000004,1.5875969261749023,1.0,0.0,0.0,0.0,0.0,0.0,0.9457761207848003,0.017154760032030248,12.12,8.785533563762648
9,20,50.0,ramp,leaky_bucket,local,0,0.0,True,50,10.0,30.872,1.905155111795362,1.0,0.0,0.0,0.0,0.1226424787825371,0.050856939117098356,0.9389925955064798,0.013950345420545218,10.08,8.409137886846667
10,20,100.0,constant,sliding_window,local,0,0.0,True,50,10.0,50.0,0.0,0.4995004995004995,0.0,0.5004995004995005,0.0,0.0,0.0,0.9637211854912264,0.011844188421933091,0.0,0.0
11,20,100.0,constant,token_bucket,local,0,0.0,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.0,0.0,0.9670534305040016,0.009694459313373547,98.0,0.0
12,20,100.0,constant,leaky_bucket,local,0,0.0,True,50,10.0,54.9,0.0,0.5484515484515484,0.0,0.45154845154845147,5.551115123125783e-17,0.9800000000000008,1.1102230246251565e-16,0.9646600192557411,0.01103954311914286,98.0,0.0
13,20,100.0,poisson,sliding_window,local,0,0.0,True,50,10.0,49.97,0.12369316876852952,0.49703338838695055,0.01268971834562672,0.5029666116130495,0.012689718345626717,0.0,0.0,0.9629782347231419,0.011779345062645125,0.0,0.0
14,20,100.0,poisson,token_bucket,local,0,0.0,True,50,10.0,54.802,0.1157410903698417,0.5466767674015597,0.01681778697522549,0.4533232325984404,0.01681778697522549,0.0,0.0,0.9654809792897433,0.010917579102076564,93.52,7.04908504701142
15,20,100.0,poisson,leaky_bucket,local,0,0.0,True,50,10.0,54.81799999999999,0.10712609392673547,0.5421260980456694,0.015023909450967937,0.45787390195433053,0.015023909450967935,0.9792004739696064,0.00016208113268746145,0.9686621288318729,0.01033341223748392,93.2,7.44043009509531
16,20,100.0,ramp,sliding_window,local,0,0.0,True,50,10.0,44.275999999999996,0.9124823285960119,0.7088186990407724,0.02438786623574287,0.2911813009592273,0.02438786623574286,0.0,0.0,0.9594955210106504,0.014178761872257598,0.0,0.0
17,20,100.0,ramp,token_bucket,local,0,0.0,True,50,10.0,50.014,1.0049895521844991,0.8022296419340254,0.026089028692090163,0.19777035806597468,0.026089028692090163,0.0,0.0,0.9609455380058204,0.010557684082230808,53.56,7.962813573103417
18,20,100.0,ramp,leaky_bucket,local,0,0.0,True,50,10.0,49.886,1.103269685978909,0.7917812782077077,0.023028451547438322,0.20821872179229226,0.023028451547438315,0.977392532240495,0.0005762841947508648,0.9622137652314109,0.013352287433536301,58.36,10.723357683113997
19,50,50.0,constant,sliding_window,local,0,0.0,True,50,10.0,49.5,0.0,0.9880239520958084,0.0,0.011976047904191616,1.734723475976807e-18,0.0,0.0,0.9072609762765244,0.015988828168980136,0.0,0.0
20,50,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,50.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.911248931677006,0.014807983829291497,2.0,0.0
21,50,50.0,constant,leaky_bucket,local,0,0.0,True,50,10.0,50.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9127874762964835,0.017615125952190034,2.0,0.0
22,50,50.0,poisson,sliding_window,local,0,0.0,True,50,10.0,44.86600000000001,0.8805929820297234,0.9055269298611321,0.027819544277938608,0.0944730701388679,0.027819544277938604,0.0,0.0,0.9013560326479236,0.021076853906886617,0.0,0.0
23,50,50.0,poisson,token_bucket,local,0,0.0,True,50,10.0,49.89200000000001,1.9089096364155116,0.9998872180451127,0.0007894736842105246,0.00011278195488721803,0.0007894736842105261,0.0,0.0,0.9129314585802301,0.01622357952706272,32.8,7.807688518377255
